"element"	"depth"	"sequence"	"choice"
"primaryKey"	0	0	86
"key"	1	101	86
"attributeReference"	2	122	86
"uniqueKey"	0	0	86
"key"	1	159	86
"attributeReference"	2	179	86
"checkConstraint"	0	0	86
"checkCondition"	1	215	86
"foreignKey"	0	0	86
"joinCondition"	0	0	86
"referencedKey"	1	285	86
"attributeReference"	2	304	86
"notNullConstraint"	0	0	86
"key"	1	339	86
"attributeReference"	2	358	86
"constraintName"	0	408	0
"constraintDescription"	0	408	0
"key"	0	444	0
"attributeReference"	1	462	0
"entityReference"	0	444	0
"relationshipType"	0	444	0
"cardinality"	0	444	0
"parentOccurences"	1	542	0
"childOccurences"	1	542	0
